         66953 function calls (63609 primitive calls) in 19.583 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   19.583   19.583 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\main.py:461(run)
        1    0.000    0.000   19.579   19.579 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\server.py:63(run)
        1    0.000    0.000   19.563   19.563 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\runners.py:8(run)
        3    0.000    0.000   19.552    6.517 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:605(run_until_complete)
        3    0.000    0.000   19.552    6.517 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\windows_events.py:312(run_forever)
        3    0.001    0.000   19.552    6.517 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:582(run_forever)
      377    0.030    0.000   19.550    0.052 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:1806(_run_once)
      377    0.003    0.000   19.062    0.051 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\windows_events.py:432(select)
      378    0.020    0.000   19.060    0.050 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\windows_events.py:770(_poll)
      392   19.037    0.049   19.037    0.049 {built-in method _overlapped.GetQueuedCompletionStatus}
      404    0.007    0.000    0.451    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\events.py:78(_run)
      404    0.009    0.000    0.445    0.001 {method 'run' of '_contextvars.Context' objects}
      178    0.001    0.000    0.329    0.002 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\server.py:67(serve)
      178    0.001    0.000    0.328    0.002 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\server.py:71(_serve)
     30/8    0.001    0.000    0.295    0.037 <frozen importlib._bootstrap>:1022(_find_and_load)
     30/8    0.001    0.000    0.293    0.037 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        5    0.000    0.000    0.286    0.057 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\importer.py:9(import_from_string)
        5    0.000    0.000    0.286    0.057 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\importlib\__init__.py:108(import_module)
     10/5    0.000    0.000    0.286    0.057 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.003    0.003    0.280    0.280 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\config.py:395(load)
    26/12    0.001    0.000    0.269    0.022 <frozen importlib._bootstrap>:664(_load_unlocked)
    26/12    0.000    0.000    0.266    0.022 <frozen importlib._bootstrap_external>:877(exec_module)
    32/12    0.000    0.000    0.252    0.021 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    56/12    0.016    0.000    0.221    0.018 {built-in method builtins.exec}
